shopname,shopcatogory,shopaddress,shopid
营养早餐,早餐店,一食堂1F,101
小厨精品菜,快餐便当,一食堂1F,102
风味拉面,中式面食,一食堂1F,103
私房面馆,中式面食,一食堂1F,104
阿香馄饨,中式面食,一食堂1F,105
淮南牛肉汤,地方菜肴,一食堂1F,106
秦小宝·热米皮,地方菜肴,一食堂1F,107
桶桶香,泡饭/拌饭/炒饭,一食堂1F,108
今回味炒饭,泡饭/拌饭/炒饭,一食堂1F,109
食尚卤,泡饭/拌饭/炒饭,一食堂1F,110
川府麻辣香锅麻辣烫,自选风味料理,一食堂1F,111
萌煮小锅仔,自选风味料理,一食堂1F,112
大众早餐,早餐店,一食堂2F,201
沪上小炒,快餐便当,一食堂2F,202
九里香鸡丝面,中式面食,一食堂2F,203
大大大碗面,中式面食,一食堂2F,204
美润水饺,中式面食,一食堂2F,205
山东杂粮煎饼,地方菜肴,一食堂2F,206
铁板炒饭,泡饭/拌饭/炒饭,一食堂2F,207
手撕鸭,泡饭/拌饭/炒饭,一食堂2F,208
申氏浇汁虾米饭,泡饭/拌饭/炒饭,一食堂2F,209
王记麻辣香锅,自选风味料理,一食堂2F,210
学府蒸菜,快餐便当,一食堂3F,301
茄汁面,中式面食,一食堂3F,302
湘西小炒,地方菜肴,一食堂3F,303
川味锅仔,地方菜肴,一食堂3F,304
川香水煮,地方菜肴,一食堂3F,305
烤肉饭,泡饭/拌饭/炒饭,一食堂3F,306
咖喱饭、牛丼饭,泡饭/拌饭/炒饭,一食堂3F,307
脆皮鸡饭/猪肚鸡,泡饭/拌饭/炒饭,一食堂3F,308
优米香,泡饭/拌饭/炒饭,一食堂3F,309
米言牛肉饭,泡饭/拌饭/炒饭,一食堂3F,310
煲仔饭,泡饭/拌饭/炒饭,一食堂3F,311
卡塞米罗西餐,西餐,西餐厅,401
酸小七酸汤鱼,地方菜肴,西餐厅,402
朱家小馆面馆,中式面食,西餐厅,403
成都冒烤鸭,地方菜肴,西餐厅,404
香肉拌饭,泡饭/拌饭/炒饭,西餐厅,405
韩式烤盘饭,自选风味料理,西餐厅,406
巨星潮中国汉堡,西餐,西餐厅,407
清真自选菜,快餐便当,二食堂1F,501
清真早餐,早餐店,二食堂1F,502
精品小炒,快餐便当,二食堂2F,601
维咔斯国潮汉堡,西餐,二食堂2F,602
西里巷•铁板厨房,西餐,二食堂2F,603
嗨族拌面,中式面食,二食堂2F,604
重庆火锅米线,中式面食,二食堂2F,605
正新鸡排,炸鸡炸串,二食堂2F,606
茶泡饭,泡饭/拌饭/炒饭,二食堂2F,607
F+牛肉饭,泡饭/拌饭/炒饭,二食堂2F,608
金日升烤盘饭,自选风味料理,二食堂2F,609
鑫向隆麻辣烫麻辣香锅,自选风味料理," 二食堂2F",610
